secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
179,97,0,2.23981,49.068,0,503,38,12.58013587,56.04125577,0,0,23,0,48,0,0,0,0,0,0,0,0
180,95,0,2.25278,47.8908,0,487,38.8,12.57992758,56.04125216,0,1.28,23,0,49,0,0,0,0,0,0,0,0
181,94,0,2.26343,46.7856,0,464,39.2,12.57975651,56.04125216,0,2.33,23,0,50,0,0,0,0,0,0,0,0
182,94,0,2.27818,46.3752,0,463,39.6,12.57952047,56.04125200,0,2.67,23,0,49,0,0,0,0,0,0,0,0
183,97,0,2.29036,44.7156,0,489,40.2,12.57932475,56.04124822,0,2.97,23,0,50,0,0,0,0,0,0,0,0
184,96,0,2.30258,44.2944,0,504,40.6,12.57912912,56.04124454,0,3.22,23,0,49,0,0,0,0,0,0,0,0
185,96,0,2.31488,44.154,0,508,41.2,12.57893198,56.04124437,0,3.41,23,0,50,0,0,0,0,0,0,0,0
186,96,0,2.32694,43.8588,0,486,41.6,12.57873777,56.04124068,0,3.51,23,0,49,0,0,0,0,0,0,0,0
187,95,0,2.337,44.7084,0,470,42,12.57857700,56.04124068,0,3.51,23,0,49,0,0,0,0,0,0,0,0
188,95,0,2.35162,44.2872,0,470,42.4,12.57834198,56.04124110,0,3.43,23,0,48,0,0,0,0,0,0,0,0
189,96,0,2.36338,44.1684,0,470,42.8,12.57815389,56.04124487,0,3.32,23,0,49,0,0,0,0,0,0,0,0
190,97,0,2.3727,44.1684,0,476,43,12.57800427,56.04124856,0,3.18,23,0,49,0,0,0,0,0,0,0,0
191,98,0,2.38585,44.1,0,475,43.2,12.57779338,56.04125309,0,2.98,23,0,50,0,0,0,0,0,0,0,0
192,99,0,2.40027,44.1,0,501,43.4,12.57756271,56.04126432,0,2.71,23,0,50,0,0,0,0,0,0,0,0
193,100,0,2.41264,44.1,0,505,43.6,12.57736532,56.04127588,0,2.42,23,0,49,0,0,0,0,0,0,0,0
194,102,0,2.42249,44.1036,0,479,43.8,12.57720925,56.04128695,0,2.1,23,0,48,0,0,0,0,0,0,0,0
195,104,0,2.43539,44.1756,0,435,43.8,12.57700272,56.04129810,0,1.79,23,0,50,0,0,0,0,0,0,0,0
